机速_al,负压_1_al,负压_2_al,负压_3_al,负压_4_al,负压_5_al,负压_6_al,负压_7_al,负压_8_al,负压_9_al,负压_10_al,负压_11_al,负压_12_al,负压_13_al,负压_14_al,负压_15_al,负压_16_al,负压_17_al,负压_18_al,温度_1_al,温度_2_al,温度_3_al,温度_4_al,温度_5_al,温度_6_al,温度_7_al,温度_8_al,温度_9_al,温度_10_al,温度_11_al,温度_12_al,温度_13_al,温度_14_al,温度_15_al,温度_16_al,温度_17_al,温度_18_al,大烟道负压_1_al,大烟道负压_2_al,大烟道温度_1_al,大烟道温度_2_al,pgrad_1,tgrad_1,pgrad_2,tgrad_2,pgrad_3,tgrad_3,pgrad_4,tgrad_4,pgrad_5,tgrad_5,pgrad_6,tgrad_6,pgrad_7,tgrad_7,pgrad_8,tgrad_8,pgrad_9,tgrad_9,pgrad_10,tgrad_10,pgrad_11,tgrad_11,pgrad_12,tgrad_12,pgrad_13,tgrad_13,pgrad_14,tgrad_14,pgrad_15,tgrad_15,pgrad_16,tgrad_16,pgrad_17,tgrad_17,p_mean,p_mid,p_back,t_back,co_lag1,co_lag2,co_lag5,co_ma5,co_diff1,CO浓度
1.27,-11.559,-11.687,-11.314,-11.403,-11.403,-13.798,-13.798,-13.821,-13.821,-13.76,-13.76,-13.742,-13.742,-13.619,-13.619,-9.011,-7.697,-6.278,113.3,100.8,92.85,88.5,117.0,94.5,86.19999999999999,84.0,82.85,84.6,93.65,120.6,195.85,375.9,473.75,505.4500000000001,513.2,470.9,-13.883,-14.08,153.5,136.1,-0.1280000000000001,-12.5,0.37299999999999933,-7.950000000000003,-0.08900000000000041,-4.349999999999994,0.0,28.5,-2.3949999999999996,-22.5,0.0,-8.300000000000011,-0.022999999999999687,-2.1999999999999886,0.0,-1.1500000000000057,0.06099999999999994,1.75,0.0,9.050000000000011,0.017999999999998906,26.94999999999999,0.0,75.25,0.12300000000000111,180.04999999999998,0.0,97.85000000000002,4.6080000000000005,31.700000000000102,1.3139999999999992,7.749999999999943,1.4190000000000005,-42.30000000000007,-12.101777777777777,-13.785714285714288,-10.661,422.5083333333334,3532.625,3501.881,3498.264,3520.5442000000003,65.46500000000015,3598.09
1.27,-11.723,-11.825,-11.337,-11.442,-11.442,-13.825,-13.825,-13.843,-13.843,-13.792,-13.792,-13.778,-13.778,-13.66,-13.66,-9.006,-7.76,-6.635,111.75,101.15,93.15,88.5,118.25,94.8,86.65,83.95,82.75,84.1,92.65,127.2,199.0,357.4,478.15,507.1,517.6500000000001,473.75,-13.89,-14.074,152.9,136.6,-0.10199999999999854,-10.599999999999994,0.48799999999999955,-8.0,-0.10500000000000043,-4.650000000000006,0.0,29.75,-2.382999999999999,-23.450000000000003,0.0,-8.149999999999991,-0.018000000000000682,-2.700000000000003,0.0,-1.2000000000000028,0.051000000000000156,1.3499999999999943,0.0,8.550000000000011,0.013999999999999346,34.55,0.0,71.8,0.11800000000000033,158.39999999999998,0.0,120.75,4.654,28.950000000000045,1.2460000000000004,10.550000000000068,1.125,-43.90000000000009,-12.164777777777777,-13.814000000000002,-10.749833333333333,422.175,3598.09,3532.625,3461.01,3541.8115999999995,-30.742999999999938,3567.347
1.27,-11.756,-11.938,-11.342,-11.457,-11.457,-13.861,-13.861,-13.875,-13.875,-13.795,-13.795,-13.776,-13.776,-13.66,-13.66,-9.07,-7.641,-6.512,110.3,101.4,93.4,88.9,118.8,94.8,86.95,84.15,83.15,84.35,92.55,129.5,216.9,340.5,472.6,510.9,508.5,480.35,-13.921,-14.101,152.3,137.6,-0.18200000000000038,-8.899999999999991,0.5960000000000001,-8.0,-0.11500000000000021,-4.5,0.0,29.89999999999999,-2.404,-24.0,0.0,-7.849999999999994,-0.013999999999999346,-2.799999999999997,0.0,-1.0,0.08000000000000007,1.1999999999999886,0.0,8.200000000000003,0.019000000000000128,36.95,0.0,87.4,0.11599999999999966,123.6,0.0,132.10000000000002,4.59,38.299999999999955,1.4290000000000003,-2.3999999999999773,1.1290000000000004,-28.149999999999977,-12.172611111111111,-13.834,-10.719833333333334,421.625,3567.347,3598.09,3509.115,3551.938800000001,-7.596000000000004,3559.751
1.27,-11.704,-11.938,-11.34,-11.413,-11.413,-13.851,-13.851,-13.875,-13.875,-13.802,-13.802,-13.784,-13.784,-13.659,-13.659,-13.594,-13.209,-11.393,109.55,100.65,93.8,89.05,120.05,94.5,86.94999999999999,85.9,83.55,85.05,94.95,125.25,232.75,341.25,462.9,501.9,508.45,483.45,-13.929,-14.119,151.9,137.9,-0.23399999999999999,-8.899999999999991,0.5980000000000008,-6.8500000000000085,-0.0730000000000004,-4.75,0.0,31.0,-2.4380000000000006,-25.549999999999997,0.0,-7.550000000000011,-0.023999999999999133,-1.049999999999983,0.0,-2.3500000000000085,0.0730000000000004,1.5,0.0,9.900000000000006,0.017999999999998906,30.299999999999997,0.0,107.5,0.125,108.5,0.0,121.64999999999998,0.06500000000000128,39.0,0.3849999999999998,6.550000000000011,1.815999999999999,-25.0,-12.996999999999996,-13.834285714285713,-13.216333333333333,421.78333333333336,3559.751,3567.347,3501.881,3561.9938,-7.595000000000255,3552.156
1.27,-11.693,-11.917,-11.314,-11.391,-11.391,-13.864,-13.864,-13.881,-13.881,-13.813,-13.813,-13.779,-13.779,-13.668,-13.668,-12.039,-11.835,-10.891,109.6,99.4,93.85,89.35,121.3,94.35,86.65,85.55,83.95,85.6,98.7,134.45,249.7,351.75,452.75,496.7000000000001,500.8,480.25,-13.94,-14.145,151.6,137.5,-0.2240000000000002,-10.199999999999989,0.6029999999999998,-5.550000000000011,-0.07699999999999996,-4.5,0.0,31.950000000000003,-2.4730000000000008,-26.950000000000003,0.0,-7.699999999999989,-0.01699999999999946,-1.1000000000000085,0.0,-1.5999999999999943,0.06799999999999962,1.6499999999999915,0.0,13.100000000000009,0.034000000000000696,35.749999999999986,0.0,115.25,0.11100000000000065,102.05000000000001,0.0,101.0,1.6289999999999996,43.9500000000001,0.20399999999999885,4.099999999999909,0.9440000000000008,-20.55000000000001,-12.804499999999999,-13.842142857142857,-12.646666666666668,421.99166666666673,3552.156,3559.751,3532.625,3552.8068,-65.4659999999999,3486.69
1.27,-11.697,-11.867,-11.266,-11.327,-11.327,-13.883,-13.883,-13.89,-13.89,-13.845,-13.845,-13.817,-13.817,-13.69,-13.69,-13.276,-12.782,-9.795,111.15,98.3,94.15,89.7,121.5,94.6,86.3,85.35,84.1,86.35,101.3,130.9,236.8,369.5,445.55,489.35,497.4500000000001,480.2,-13.948,-14.146,151.2,137.1,-0.1700000000000017,-12.850000000000009,0.6010000000000009,-4.1499999999999915,-0.06099999999999994,-4.450000000000003,0.0,31.799999999999997,-2.555999999999999,-26.900000000000006,0.0,-8.299999999999997,-0.0070000000000014495,-0.9500000000000028,0.0,-1.25,0.04499999999999993,2.25,0.0,14.950000000000003,0.02800000000000047,29.60000000000001,0.0,105.9,0.12700000000000067,132.7,0.0,76.05000000000001,0.4139999999999997,43.80000000000001,0.4939999999999998,8.10000000000008,2.987,-17.250000000000114,-12.865944444444445,-13.864714285714285,-12.841666666666667,419.80833333333334,3486.69,3552.156,3598.09,3536.6754,30.742999999999938,3517.433
1.27,-11.762,-11.941,-11.266,-11.317,-11.317,-13.904,-13.904,-13.927,-13.927,-13.819,-13.819,-13.798,-13.798,-13.665,-13.665,-13.695,-13.527,-11.284,112.7,97.6,93.9,89.9,119.2,94.95,86.2,85.05,84.4,87.0,106.05,121.6,230.6,382.25,442.35,487.35,495.4,472.6,-13.963,-14.155,150.9,137.2,-0.17900000000000027,-15.100000000000009,0.6750000000000007,-3.6999999999999886,-0.051000000000000156,-4.0,0.0,29.299999999999997,-2.5869999999999997,-24.25,0.0,-8.75,-0.022999999999999687,-1.1500000000000057,0.0,-0.6499999999999915,0.10799999999999876,2.5999999999999943,0.0,19.049999999999997,0.021000000000000796,15.549999999999997,0.0,109.0,0.1330000000000009,151.65,0.0,60.10000000000002,-0.030000000000001137,45.0,0.16800000000000104,8.049999999999955,2.2429999999999986,-22.799999999999955,-13.018611111111108,-13.871142857142857,-13.272333333333334,418.425,3517.433,3486.69,3567.347,3532.0458,26.766000000000076,3544.199
1.27,-11.842,-11.989,-11.321,-11.391,-11.391,-13.879,-13.879,-13.892,-13.892,-13.487,-13.487,-13.566,-13.566,-13.665,-13.665,-13.648,-13.483,-11.248,113.8,97.25,93.2,90.15,119.25,95.5,86.05,84.44999999999999,84.5,86.95,106.15,114.25,230.1,382.95,448.35,486.7000000000001,495.4,471.15,-13.94,-14.145,151.6,137.5,-0.14700000000000024,-16.549999999999997,0.668000000000001,-4.049999999999997,-0.07000000000000028,-3.049999999999997,0.0,29.099999999999994,-2.4879999999999995,-23.75,0.0,-9.450000000000003,-0.0129999999999999,-1.6000000000000085,0.0,0.05000000000001137,0.40499999999999936,2.450000000000003,0.0,19.200000000000003,-0.07900000000000063,8.099999999999994,0.0,115.85,-0.09899999999999842,152.85,0.0,65.40000000000003,0.01699999999999946,38.35000000000008,0.16499999999999915,8.699999999999875,2.235000000000001,-24.25,-12.96061111111111,-13.725999999999999,-13.2125,419.10833333333335,3544.199,3517.433,3559.751,3530.4544,7.5949999999998,3551.794
1.27,-12.023,-12.155,-11.359,-11.438,-11.438,-13.521,-13.521,-13.534,-13.534,-14.044,-14.044,-14.021,-14.021,-13.894,-13.894,-13.572,-13.413,-11.275,114.1,97.7,92.3,90.4,118.5,96.05,85.75,84.05000000000001,84.55000000000001,86.5,105.55,112.6,209.5,367.55,456.9500000000001,494.05,497.75,467.0,-13.902,-14.255,152.5,138.1,-0.13199999999999967,-16.39999999999999,0.7959999999999994,-5.400000000000006,-0.07900000000000063,-1.8999999999999915,0.0,28.099999999999994,-2.083,-22.450000000000003,0.0,-10.299999999999997,-0.0129999999999999,-1.6999999999999886,0.0,0.5,-0.5099999999999998,1.9499999999999886,0.0,19.049999999999997,0.022999999999999687,7.049999999999997,0.0,96.9,0.12700000000000067,158.05,0.0,89.40000000000009,0.32200000000000095,37.09999999999991,0.15899999999999892,3.6999999999999886,2.138,-30.75,-13.038944444444446,-13.745571428571427,-13.344833333333334,415.4666666666667,3551.794,3544.199,3552.156,3525.029,-26.764999999999873,3525.029
1.27,-12.014,-12.173,-11.392,-11.454,-11.454,-14.087,-14.087,-14.125,-14.125,-14.038,-14.038,-14.018,-14.018,-13.884,-13.884,-13.524,-13.345,-11.263,113.45,99.05,91.75,90.35,117.25,96.5,85.75,83.80000000000001,84.4,85.9,103.5,119.25,190.3,369.4,464.2000000000001,502.1,506.1,464.0,-14.24,-14.327,152.3,139.1,-0.1590000000000007,-14.400000000000006,0.7810000000000006,-7.299999999999997,-0.062000000000001165,-1.4000000000000057,0.0,26.900000000000006,-2.632999999999999,-20.75,0.0,-10.75,-0.038000000000000256,-1.9499999999999886,0.0,0.5999999999999943,0.08699999999999974,1.5,0.0,17.599999999999994,0.019999999999999574,15.75,0.0,71.05000000000001,0.13400000000000034,179.09999999999997,0.0,94.80000000000013,0.3600000000000012,37.89999999999992,0.1789999999999985,4.0,2.0820000000000007,-42.10000000000002,-13.162388888888891,-14.074,-13.319666666666668,416.01666666666665,3525.029,3551.794,3486.69,3558.5214,129.12300000000005,3654.152
1.29,-11.893,-12.082,-11.419,-11.499,-11.499,-14.092,-14.092,-14.113,-14.113,-14.011,-14.011,-13.991,-13.991,-13.87,-13.87,-13.497,-13.272,-11.214,112.85,99.9,91.0,89.85,118.45,96.6,86.19999999999999,83.5,84.30000000000001,85.5,103.1,128.89999999999998,184.45,348.85,464.2,505.45,514.6,463.55,-14.228,-14.305,151.8,140.6,-0.18900000000000006,-12.949999999999989,0.6630000000000003,-8.900000000000006,-0.08000000000000007,-1.1500000000000057,0.0,28.60000000000001,-2.593,-21.85000000000001,0.0,-10.400000000000006,-0.02099999999999902,-2.6999999999999886,0.0,0.8000000000000114,0.10200000000000031,1.1999999999999886,0.0,17.599999999999994,0.019999999999999574,25.799999999999983,0.0,55.55000000000001,0.12100000000000044,164.40000000000003,0.0,115.34999999999997,0.37299999999999933,41.25,0.22499999999999964,9.150000000000034,2.058,-51.05000000000001,-13.1405,-14.06042857142857,-13.285666666666666,413.5166666666667,3654.152,3525.029,3517.433,3647.7142,309.2449999999999,3963.397
1.29,-11.953,-12.203,-11.425,-11.492,-11.492,-14.073,-14.073,-14.091,-14.091,-14.293,-14.293,-14.261,-14.261,-14.155,-14.155,-13.451,-13.26,-11.183,111.7,100.25,91.05,89.15,119.2,96.4,86.7,83.19999999999999,84.6,86.0,105.45,139.9,196.0,322.45000000000005,460.3,505.85,516.3,469.4,-14.213,-14.291,151.4,141.8,-0.25,-11.450000000000003,0.7779999999999987,-9.200000000000003,-0.06700000000000017,-1.8999999999999915,0.0,30.049999999999997,-2.5809999999999995,-22.799999999999997,0.0,-9.700000000000003,-0.017999999999998906,-3.500000000000014,0.0,1.4000000000000057,-0.20199999999999996,1.4000000000000057,0.0,19.450000000000003,0.03200000000000003,34.45,0.0,56.099999999999994,0.10599999999999987,126.45000000000005,0.0,137.84999999999997,0.7039999999999988,45.55000000000001,0.19100000000000072,10.449999999999932,2.077,-46.89999999999998,-13.23361111111111,-14.167857142857144,-13.410833333333334,411.71666666666664,3963.397,3654.152,3544.199,3722.3669999999997,-45.93399999999974,3917.463
1.29,-12.077,-12.269,-11.414,-11.506,-11.506,-14.355,-14.355,-14.368,-14.368,-14.325,-14.325,-14.265,-14.265,-14.192,-14.192,-13.481,-13.223,-11.213,110.05,99.9,91.8,88.44999999999999,120.7,95.8,86.95,83.19999999999999,84.65,88.6,108.3,168.75,221.6,309.45000000000005,456.2000000000001,502.9,516.3,474.7000000000001,-14.503,-14.616,151.9,144.2,-0.19200000000000017,-10.149999999999991,0.8550000000000004,-8.100000000000009,-0.09200000000000053,-3.3500000000000085,0.0,32.250000000000014,-2.849,-24.900000000000006,0.0,-8.849999999999994,-0.0129999999999999,-3.750000000000014,0.0,1.450000000000017,0.04300000000000104,3.9499999999999886,0.0,19.700000000000003,0.05999999999999872,60.45,0.0,52.849999999999994,0.0730000000000004,87.85000000000005,0.0,146.75000000000006,0.7110000000000003,46.699999999999875,0.2579999999999991,13.399999999999977,2.0100000000000016,-41.59999999999985,-13.31661111111111,-14.337285714285715,-13.427666666666667,413.52500000000003,3917.463,3963.397,3551.794,3789.3520000000003,-30.744000000000142,3886.719
